区分,Ref,数量,値・型番,パッケージ,定格・仕様,実装,備考
電源入力,J1,1,USB Type-C レセプタクル 16P (GCT USB4105-GF-A 相当),SMD/THT,5A,○,CC1/CC2/D+/D−/VBUS/GND を使用
電源入力,F1,1,チップヒューズ 5A (Littelfuse 0466005 相当),1206,5A 32V 速断,○,
電源入力,D1,1,SMBJ22A,SMB,VRWM 22V 単方向,○,VBUS 入力サージ保護
電源入力,C1,1,4.7µF,1210,50V X7R,○,USB Type-C のシンク側容量上限 10µF を超えないこと
電源入力,C2,1,100nF,0603,50V X7R,○,
PD,U1,1,CH224K,ESSOP-10,,○(オプションA),CFG1–3 を MCU で駆動 (レベル設定モード)
PD,U1B,1,CH221K,SOT-23-6,,DNP(オプションB),U1 と排他。抵抗 1 本で要求電圧を固定
PD,R1,1,1kΩ,2010,0.75W,○,VBUS→VDD_PD。20V 時 約 0.28W
PD,C3,1,1µF,0603,25V X7R,○,VDD_PD デカップリング
PD,R2,1,24kΩ(12V) / 56kΩ(15V),0603,1%,DNP,CH224K 抵抗設定モード用 (CFG1–GND)。実装時は PB5 を Hi-Z に
PD,R5 R6 R7,3,100Ω,0603,,○,CFG1/CFG2/CFG3 直列保護
PD,R8,1,100kΩ (15V),0603,1%,DNP(オプションB),CH221K CFG–VDD_PD。VBUS へ接続しないこと
PD,R66,1,0Ω,0603,,○,CH224K VBUS 検出ピン接続 (不要なら DNP)
PD,R9,1,10kΩ,0603,,○,PD_PG プルアップ (+3V3)
PD,R10,1,1kΩ,0603,,○,PD OK 表示 LED 電流制限
PD,D2,1,LED 橙,0603,,○,PD OK 表示 (PG=L で点灯)
降圧,U2,1,AP63203WU-7,TSOT-26,3.8–32V入力 3.3V/2A,○,固定 3.3V 出力
降圧,C4,1,4.7µF,1210,50V X7R,○,U2 入力 (VIN 直近)。C1+C2+C4 ≦ 10µF (cSnkBulk)
降圧,C5,1,100nF,0603,25V,○,BST–SW
降圧,L1,1,4.7µH,4×4mm,Isat ≥1.5A,○,U2 データシートの推奨値を確認
降圧,C6 C7,2,22µF,0805,10V X7R,○,+3V3 出力
降圧,R11,1,100kΩ,0603,,○,EN プルアップ (VIN)
ロードスイッチ,Q1,1,AO4407A,SO-8,Pch −30V −12A,○,VBUS→VM
ロードスイッチ,R12,1,100kΩ,0603,,○,Q1 G–S
ロードスイッチ,D3,1,BZT52C12,SOD-123,12V,○,Q1 VGS クランプ
ロードスイッチ,R13,1,10kΩ,0603,,○,
ロードスイッチ,R14,1,1kΩ,0603,,○,ミラー積分 直列抵抗
ロードスイッチ,C8,1,470nF,0805,50V X7R,○,ソフトスタート (G–D)
ロードスイッチ,Q2,1,2N7002,SOT-23,,○,LOAD_EN 駆動
ロードスイッチ,R15,1,100Ω,0603,,○,
ロードスイッチ,R16,1,100kΩ,0603,,○,LOAD_EN プルダウン (リセット時 OFF)
モータ電源,C9,1,470µF,φ10 電解,35V 低ESR,○,VM バルク
モータ電源,C10 C11,2,10µF,1210,50V X7R,○,各ハーフブリッジ直近
モータ電源,C12 C13,2,100nF,0603,50V X7R,○,各ハーフブリッジ直近
モータ電源,D4,1,SMBJ24A,SMB,VRWM 24V 単方向,○,回生・サージ クランプ
モータ電源,R17,1,100kΩ,0603,1%,○,VM_SENSE 上側
モータ電源,R18,1,10kΩ,0603,1%,○,VM_SENSE 下側 (1/11)
モータ電源,C14,1,100nF,0603,,○,
ゲート電源,R19,1,4.7kΩ,0603,,○,VM→VGD_B
ゲート電源,D5,1,BZT52C12,SOD-123,12V,○,VGD 基準
ゲート電源,Q3,1,BC817-25,SOT-23,45V 500mA,○,VGD エミッタフォロワ
ゲート電源,C15,1,10µF,0805,25V X7R,○,VGD
ゲート電源,C16,1,100nF,0603,,○,VGD
Hブリッジ,Q4 Q11,2,DMC4040SSD,SO-8,N+P 40V コンプリメンタリ,○,Q4=A相 Q11=B相
Hブリッジ,Q5 Q8 Q12 Q15,4,MMBT3904,SOT-23,,○,レベルシフト
Hブリッジ,Q6 Q9 Q13 Q16,4,BC817-25,SOT-23,,○,トーテムポール上側
Hブリッジ,Q7 Q10 Q14 Q17,4,BC807-25,SOT-23,,○,トーテムポール下側
Hブリッジ,R20 R26 R31 R37,4,1kΩ,0603,,○,ベース抵抗
Hブリッジ,R21 R32,2,100kΩ,0603,,○,ハイサイド レベルシフトのベース プルダウン
Hブリッジ,R27 R38,2,10kΩ,0603,,○,ローサイド レベルシフトのベース プルダウン
Hブリッジ,R22 R33,2,1kΩ,0603,1%,○,定電流エミッタ抵抗 (約 2.6mA)
Hブリッジ,R23 R34,2,4.7kΩ,0603,1%,○,ハイサイド ゲート振幅 約 −11.5V を決定
Hブリッジ,R28 R39,2,2.2kΩ,0603,,○,ローサイド プルアップ (VGD)
Hブリッジ,R24 R29 R35 R40,4,10Ω,0603,,○,ゲート抵抗
Hブリッジ,R25 R36,2,10kΩ,0603,,○,Pch G–S
Hブリッジ,R30 R41,2,10kΩ,0603,,○,Nch G–S
Hブリッジ,D6 D7,2,BZT52C15,SOD-123,15V,○,Pch VGS 保護
電流検出,R42,1,20mΩ,2512,1W 1%,○,ケルビン接続
電流検出,R43,1,100Ω,0603,,○,
電流検出,C17,1,1nF,0603,C0G,○,
モータ出力,J2,1,端子台 2P 5.0mm,THT,10A,○,MOT_A / MOT_B
モータ出力,C18,1,100nF,0805,50V,DNP,通常はモータ端子側に実装
MCU,U3,1,STM32G431KBT6,LQFP-32,,○,
MCU,C19 C20,2,100nF,0603,,○,VDD
MCU,C21,1,4.7µF,0603,10V,○,VDD
MCU,FB1,1,フェライトビーズ 600Ω@100MHz,0603,,○,+3V3→VDDA
MCU,C22,1,100nF,0603,,○,VDDA
MCU,C23,1,1µF,0603,,○,VDDA
MCU,C24,1,100nF,0603,,○,NRST
MCU,R44,1,10kΩ,0603,,○,PB8-BOOT0 プルダウン
MCU,Y1,1,8MHz 水晶,3225,CL 8pF ±20ppm,○,FDCAN のクロック精度確保
MCU,C25 C26,2,10pF,0603,C0G,○,Y1 負荷容量
MCU,J5,1,ピンヘッダ 1×5 2.54mm,THT,,○,SWD (+3V3/SWDIO/SWCLK/NRST/GND)
MCU,D8,1,LED 緑,0603,,○,ステータス
MCU,R45,1,1kΩ,0603,,○,
ノードID,SW1,1,DIP スイッチ 3P,SMD,,○,
ノードID,R46,1,80.6kΩ,0603,1%,○,bit0
ノードID,R47,1,40.2kΩ,0603,1%,○,bit1
ノードID,R48,1,20.0kΩ,0603,1%,○,bit2
ノードID,R49,1,10.0kΩ,0603,1%,○,NODE_ID プルダウン
ノードID,C27,1,100nF,0603,,○,
温度,TH1,1,NTC 10kΩ B3435,0603,,○,Q4/Q11 近傍
温度,R50,1,10kΩ,0603,1%,○,
温度,C28,1,100nF,0603,,○,
位置センサ,J3,1,JST XH 3P (B3B-XH-A),THT,,○,ポテンショメータ
位置センサ,R51,1,1kΩ,0603,,○,
位置センサ,C29,1,100nF,0603,,○,
位置センサ,J4,1,JST XH 4P (B4B-XH-A),THT,,○,エンコーダ
位置センサ,R52 R53,2,4.7kΩ,0603,,○,プルアップ
位置センサ,R54 R55,2,100Ω,0603,,○,
位置センサ,C30 C31,2,100pF,0603,C0G,○,
光I/O,D9,1,TSHF5210 (Vishay),T-1¾ 5mm,890nm ±10°,○,送信 赤外LED
光I/O,D10,1,BPV10NF (Vishay),T-1¾ 5mm,PIN 昼光カットフィルタ,○,受信 フォトダイオード
光I/O,R56,1,10kΩ,0603,,○,CAN_TX プルアップ (リセット時 レセッシブ)
光I/O,U4,1,74LVC1G04,SOT-23-5,,○,
光I/O,R57,1,22Ω,0603,,○,
光I/O,Q18,1,2N7002,SOT-23,,○,LED 駆動
光I/O,R58,1,33Ω,1206,0.25W,○,IF ≈ 53mA
光I/O,R59,1,33Ω,1206,0.25W,DNP,実装で IF ≈ 100mA (長距離用)
光I/O,R60,1,100kΩ,0603,,○,
光I/O,C32,1,22µF,0805,10V,○,LED 電源局所
光I/O,C33 C34,2,100nF,0603,,○,
光I/O,R61,1,100Ω,0603,,○,PD バイアス フィルタ
光I/O,C35,1,1µF,0603,,○,
光I/O,R62,1,10kΩ (22k/47k 選択),0603,1%,○,受光負荷。距離とビットレートで選択
光I/O,D11,1,BAV99,SOT-23,,○,PD_OUT クランプ (約 1.1V)
光I/O,U5,1,TLV3201,SOT-23-5,40ns プッシュプル,○,比較器
光I/O,R63,1,100kΩ,0603,1%,○,VTH 上側
光I/O,R64,1,10kΩ,0603,1%,○,VTH 下側
光I/O,R65,1,1MΩ,0603,,○,ヒステリシス
光I/O,C36 C37,2,100nF,0603,,○,
光I/O,U6,1,74LVC1G08,SOT-23-5,,○,自局ループバック AND
試験,TP1–TP7,7,テストパッド,φ1.5,,○,VBUS/VM/+3V3/GND/PA2/PD_OUT/RX_OPT_N
