ネット,接続 (部品.ピン名)
VBUS_IN,J1.VBUS(A4/A9/B4/B9) F1.1
VBUS,TP1 F1.2 D1.K C1.1 C2.1 R1.1 R66.1 U2.VIN C4.1 R11.1 Q1.S R12.1 D3.K
GND,TP4 J1.GND(A1/A12/B1/B12) J1.SHIELD D1.A C1.2 C2.2 C3.2 U1.GND(EP) U1B.GND U2.GND C4.2 C6.2 C7.2 Q2.S R16.2 C9.− C10.2 C11.2 C12.2 C13.2 D4.A R18.2 C14.2 D5.A C15.2 C16.2 R21.2 R22.2 Q7.C R27.2 Q8.E Q10.C R30.2 R32.2 R33.2 Q14.C R38.2 Q15.E Q17.C R41.2 R42.2 C17.2 U3.VSS U3.VSSA C19.2 C20.2 C21.2 C22.2 C23.2 C24.2 R44.2 C25.2 C26.2 J5.5 D8.K R49.2 C27.2 TH1.2 C28.2 J3.3 C29.2 J4.2 C30.2 C31.2 U4.GND Q18.S R60.2 C32.2 C33.2 C34.2 C35.2 R62.2 D11.2 U5.V− R64.2 C36.2 U6.GND C37.2 R2.2
CC1,J1.CC1(A5) U1.CC1 U1B.CC1
CC2,J1.CC2(B5) U1.CC2 U1B.CC2
USB_DP,J1.D+(A6/B6) U1.DP
USB_DM,J1.D−(A7/B7) U1.DM
VDD_PD,R1.2 C3.1 U1.VDD U1B.VDD R8.1
PD_VBUS,R66.2 U1.VBUS
CFG1,U1.CFG1 R5.2 R2.1
CFG2,U1.CFG2 R6.2
CFG3,U1.CFG3 R7.2
CFG_B,U1B.CFG R8.2
PD_CFG1,R5.1 U3.PB5
PD_CFG2,R6.1 U3.PB7
PD_CFG3,R7.1 U3.PA6
PD_PG,U1.PG U1B.PG R9.2 D2.K U3.PB4
PG_LED,R10.2 D2.A
SW,U2.SW L1.1 C5.2
BST,U2.BST C5.1
EN,U2.EN R11.2
+3V3,TP3 L1.2 U2.FB C6.1 C7.1 R9.1 R10.1 U3.VDD C19.1 C20.1 C21.1 FB1.1 J5.1 SW1.1C SW1.2C SW1.3C R50.1 J3.1 J4.1 R52.1 R53.1 R56.1 U4.VCC R58.1 R59.1 C32.1 C33.1 C34.1 R61.1 R63.1 U5.V+ C36.1 U6.VCC C37.1
VDDA,FB1.2 U3.VDDA C22.1 C23.1
Q1_G,Q1.G R12.2 D3.A R13.1 R14.1
Q1_PULL,R13.2 Q2.D
SS_RC,R14.2 C8.1
LOAD_EN,U3.PA10 R15.1
LOAD_EN_G,R15.2 Q2.G R16.1
VM,TP2 Q1.D C8.2 C9.+ C10.1 C11.1 C12.1 C13.1 D4.K R17.1 R19.1 Q3.C R23.1 Q6.C R25.2 D6.K Q4.S(P) R34.1 Q13.C R36.2 D7.K Q11.S(P)
VM_SENSE,R17.2 R18.1 C14.1 U3.PA4
VGD_B,R19.2 D5.K Q3.B
VGD,Q3.E C15.1 C16.1 R28.1 Q9.C R39.1 Q16.C
PWM_AH,U3.PA8 R20.1
AH_B,R20.2 R21.1 Q5.B
AH_E,Q5.E R22.1
N_AH,Q5.C R23.2 Q6.B Q7.B
GH_A_DRV,Q6.E Q7.E R24.1
GH_A,R24.2 R25.1 D6.A Q4.G(P)
PWM_AL,U3.PA7 R26.1
AL_B,R26.2 R27.1 Q8.B
N_AL,Q8.C R28.2 Q9.B Q10.B
GL_A_DRV,Q9.E Q10.E R29.1
GL_A,R29.2 R30.1 Q4.G(N)
MOT_A,Q4.D(P) Q4.D(N) J2.1 C18.1
PWM_BH,U3.PA9 R31.1
BH_B,R31.2 R32.1 Q12.B
BH_E,Q12.E R33.1
N_BH,Q12.C R34.2 Q13.B Q14.B
GH_B_DRV,Q13.E Q14.E R35.1
GH_B,R35.2 R36.1 D7.A Q11.G(P)
PWM_BL,U3.PB0 R37.1
BL_B,R37.2 R38.1 Q15.B
N_BL,Q15.C R39.2 Q16.B Q17.B
GL_B_DRV,Q16.E Q17.E R40.1
GL_B,R40.2 R41.1 Q11.G(N)
MOT_B,Q11.D(P) Q11.D(N) J2.2 C18.2
ISNS,Q4.S(N) Q11.S(N) R42.1 R43.1
ISNS_F,R43.2 C17.1 U3.PA1
OPAMP1_OUT,U3.PA2 TP5
NRST,U3.NRST C24.1 J5.4
BOOT0,U3.PB8-BOOT0 R44.1
OSC_IN,U3.PF0 Y1.1 C25.1
OSC_OUT,U3.PF1 Y1.2 C26.1
SWDIO,U3.PA13 J5.2
SWCLK,U3.PA14 J5.3
LED_STATUS,U3.PB6 R45.1
LED_STATUS_A,R45.2 D8.A
ID_B0,SW1.1 R46.1
ID_B1,SW1.2 R47.1
ID_B2,SW1.3 R48.1
NODE_ID,R46.2 R47.2 R48.2 R49.1 C27.1 U3.PA3
NTC,R50.2 TH1.1 C28.1 U3.PA5
POT_IN,J3.2 R51.1
POT,R51.2 C29.1 U3.PA0
ENC_A_IN,J4.3 R52.2 R54.1
ENC_A,R54.2 C30.1 U3.PA15
ENC_B_IN,J4.4 R53.2 R55.1
ENC_B,R55.2 C31.1 U3.PB3
CAN_TX,U3.PA12 R56.2 U4.A U6.A
LED_DRV,U4.Y R57.1
Q18_G,R57.2 R60.1 Q18.G
LED_K,Q18.D D9.K
LED_A,D9.A R58.2 R59.2
PD_BIAS,R61.2 C35.1 D10.K
PD_OUT,D10.A R62.1 D11.1 U5.IN− TP6
VTH,R63.2 R64.1 R65.1 U5.IN+
RX_OPT_N,U5.OUT R65.2 U6.B TP7
CAN_RX,U6.Y U3.PA11
